Title,Author,Additional Authors,Reference
"The Narrows (Harry Bosch, #10; Harry Bosch Universe, #13)",Michael Connelly,,
"A Darkness More Than Night (Harry Bosch, #7; Terry McCaleb, #2; Harry Bosch Universe, #9)",Michael Connelly,,
"Blood Work (Terry McCaleb, #1; Harry Bosch Universe, #8)",Michael Connelly,,
The Lost World (Jurassic Park #2),Michael Crichton,,
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,,
The Stranger in the Woods: The Extraordinary Story of the Last True Hermit,Michael Finkel,Mark Bramhall,
I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,Michelle McNamara,"Gillian Flynn, Patton Oswalt",
Pachinko,Min Jin Lee,,
Please Like Me [But Keep Away],Mindy Kaling,,
Why Not Me?,Mindy Kaling,,
Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,,
Exit West,Mohsin Hamid,,
The Power,Naomi Alderman,,
"Switched on Pop: How Popular Music Works, and Why It Matters",Nate Sloan,Charlie Harding,
The Graveyard Book,Neil Gaiman,Dave McKean,
Coraline,Neil Gaiman,Dave McKean,
Safe Haven,Nicholas Sparks,,
The Rescue,Nicholas Sparks,,
Paddle Your Own Canoe: One Man's Fundamentals for Delicious Living,Nick Offerman,,
"Everything, Everything",Nicola Yoon,David  Yoon,
It's Okay to Laugh (Crying Is Cool Too),Nora McInerny Purmort,Nora McInerny,
No Happy Endings,Nora McInerny Purmort,Nora McInerny,
Welcome Home: Island of Flowers and Her Mother's Keeper,Nora Roberts,,
Hideaway,Nora Roberts,,
"Vision in White (Bride Quartet, #1)",Nora Roberts,,
Shelter in Place,Nora Roberts,,
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,,
"My Sister, the Serial Killer",Oyinkan Braithwaite,,
Beach Music,Pat Conroy,,
"Cause of Death (Kay Scarpetta, #7)",Patricia Cornwell,C.J. Critt,
"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,,
Just Kids,Patti Smith,,
Sea of Tranquillity,Paul Russell,,
A Head Full of Ghosts,Paul Tremblay,,
Into the Water,Paula Hawkins,,
